GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,475814,2216230,google.com,com,1,1,475926,2215091
2,2,facebook.com,com,471383,2312935,facebook.com,com,2,2,471418,2311756
3,3,youtube.com,com,424535,1897574,youtube.com,com,3,3,424609,1896366
4,4,twitter.com,com,412705,1819822,twitter.com,com,4,4,412783,1818683
5,5,instagram.com,com,368033,1625092,instagram.com,com,5,5,367958,1623980
6,6,linkedin.com,com,339788,1341770,linkedin.com,com,6,6,339898,1340853
7,7,apple.com,com,268193,831926,apple.com,com,7,7,268167,830962
8,8,microsoft.com,com,265186,766924,microsoft.com,com,8,8,260882,737640
9,9,googletagmanager.com,com,255153,869395,googletagmanager.com,com,9,9,255210,868736
10,1,wikipedia.org,org,251781,859494,wikipedia.org,org,10,1,251670,858796
11,2,wordpress.org,org,234917,874182,wordpress.org,org,11,2,234973,874524
12,1,youtu.be,be,224750,722556,youtu.be,be,12,1,224630,721848
13,3,en.wikipedia.org,org,209122,638317,en.wikipedia.org,org,13,3,208996,637915
14,10,play.google.com,com,204263,560130,play.google.com,com,14,10,204186,559336
15,11,github.com,com,203511,498012,github.com,com,15,11,203500,497845
16,12,pinterest.com,com,200793,744569,pinterest.com,com,16,12,201006,744452
17,1,goo.gl,gl,193297,624706,goo.gl,gl,17,1,193278,624406
18,13,vimeo.com,com,191266,631810,vimeo.com,com,19,14,191192,631273
19,14,maps.google.com,com,191131,651754,maps.google.com,com,18,13,191208,651607
20,15,docs.google.com,com,174674,496946,docs.google.com,com,20,15,174597,496612
21,1,bit.ly,ly,171089,489626,bit.ly,ly,21,1,171082,489453
22,16,plus.google.com,com,167510,550585,plus.google.com,com,22,16,167421,550980
23,17,adobe.com,com,166128,443418,adobe.com,com,23,17,166031,443348
24,18,wordpress.com,com,163156,489666,wordpress.com,com,24,18,163042,489485
25,19,amazon.com,com,159806,454787,amazon.com,com,25,19,159920,454638
26,20,player.vimeo.com,com,155999,483893,player.vimeo.com,com,26,20,155893,483463
27,21,apps.apple.com,com,155184,371499,apps.apple.com,com,27,21,155120,371086
28,22,blogspot.com,com,154993,456972,blogspot.com,com,28,22,154976,456901
29,4,mozilla.org,org,152356,415156,mozilla.org,org,29,4,152633,415916
30,23,whatsapp.com,com,145937,497156,whatsapp.com,com,30,23,146073,497287
31,24,drive.google.com,com,145799,389924,drive.google.com,com,31,24,145843,389972
32,25,itunes.apple.com,com,143433,342880,itunes.apple.com,com,32,25,143379,342479
33,26,support.google.com,com,139119,430906,support.google.com,com,33,26,139147,430490
34,1,europa.eu,eu,132346,423909,europa.eu,eu,34,1,132364,423268
35,27,macromedia.com,com,132171,341958,macromedia.com,com,35,27,132034,341897
36,28,api.whatsapp.com,com,129262,433794,api.whatsapp.com,com,36,28,129405,433941
37,29,yahoo.com,com,127078,316892,yahoo.com,com,37,29,126994,316990
38,30,tumblr.com,com,122176,369491,tumblr.com,com,38,30,122275,369507
39,31,policies.google.com,com,121093,396802,policies.google.com,com,39,31,121259,396855
40,32,reddit.com,com,120523,350754,reddit.com,com,40,32,120585,350863
41,1,nih.gov,gov,113706,294234,nih.gov,gov,41,1,113728,294379
42,33,qq.com,com,113447,633309,qq.com,com,42,33,113498,633617
